,Series_reference,Period,Data_value,Supp,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,Zeros,Suare_of_magnitude
26,ECTA.S19A2,2003.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
27,ECTA.S19A2,2004.03,24641.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
28,ECTA.S19A2,2005.03,26469.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
29,ECTA.S19A2,2006.03,28502.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
30,ECTA.S19A2,2007.03,31000.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
31,ECTA.S19A2,2008.03,33293.2,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
32,ECTA.S19A2,2009.03,34258.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
33,ECTA.S19A2,2010.03,35712.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
34,ECTA.S19A2,2011.03,37132.3,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
35,ECTA.S19A2,2012.03,39561.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
36,ECTA.S19A2,2013.03,40945.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
